pv parameters:
R = 8000
N = 256
Nw = 256
D = 2
I = 1
P = 1
Np = 0
synt = 0
688=0.086s (-0.0515)/344=0.043s (0.00925)
690=0.086s (-0.0149)/345=0.043s (-0.0668)
692=0.086s (0.052)/346=0.043s (-0.0596)
694=0.087s (-0.0276)/347=0.043s (-0.066)
696=0.087s (0.0222)/348=0.044s (-0.037)
698=0.087s (-0.0515)/349=0.044s (0.0122)
700=0.087s (-0.103)/350=0.044s (-0.0958)
702=0.088s (-0.0877)/351=0.044s (-0.117)
704=0.088s (0.0403)/352=0.044s (0.0109)
706=0.088s (-0.0799)/353=0.044s (-0.0175)
708=0.089s (0.153)/354=0.044s (-0.0716)
710=0.089s (0.184)/355=0.044s (-0.0645)
712=0.089s (0.052)/356=0.045s (-0.0325)
714=0.089s (0.0344)/357=0.045s (-0.0105)
716=0.090s (-0.0642)/358=0.045s (-0.0501)
718=0.090s (0.129)/359=0.045s (-0.0636)
720=0.090s (0.16)/360=0.045s (-0.00443)
722=0.090s (0.289)/361=0.045s (0.0168)
724=0.091s (0.184)/362=0.045s (-0.0614)
726=0.091s (-0.00858)/363=0.045s (-0.0139)
728=0.091s (0.115)/364=0.046s (0.0516)
730=0.091s (-0.034)/365=0.046s (0.00859)
732=0.092s (0.0578)/366=0.046s (0.0327)
734=0.092s (0.0764)/367=0.046s (0.0193)
